# OUI vendor lookup table - generated by scripts/update_oui.ps1
# Source: https://www.wireshark.org/download/automated/data/manuf
# Format: <6-hex-lowercase-prefix><TAB><Vendor Name>
# 24-bit MA-L entries only.

000000	00:00:00
00177e	MeshcomTechn
00177f	WorldsmartRe
001780	AppliedBiosy
001781	GreystoneDat
001782	LoBenn
001783	TexasInstrum
001784	Commscope
001785	SparrElectro
001786	wisembed
001787	BrotherBroth
001788	PhilipsLight
001789	Zenitron
00178a	DartsTechnol
00178b	TeledyneTech
00178c	IndependentW
00178d	Checkpoint
00178e	GunneboCashA
00178f	NingboYidong
001790	HYUNDAIDIGIT
001791	LinTech
001792	FalcomWirele
001793	Tigi
001794	Cisco
001795	Cisco
001796	Rittmeyer
001797	TelsyElettro
001798	AzonicTechno
001799	SmarTire
00179a	DLink
00179b	ChantSincere
00179c	DEPRAGSCHULZ
00179d	Kelman
00179e	Sirit
00179f	Apricorn
0017a0	RoboTech
0017a1	3soft
0017a2	Camrivox
0017a3	MIX
0017a4	HewlettPacka
0017a5	MediaTek
0017a6	YosinElectro
0017a7	MobileComput
0017a8	EDM
0017a9	Sentivision
0017aa	elabexperien
0017ab	Nintendo
0017ac	ONeilProduct
0017ad	AceNet
0017ae	GAITronics
0017af	Enermet
0017b0	NokiaDanmark
0017b1	ACISTMedical
0017b2	SKTelesys
0017b3	AftekInfosys
0017b4	RemoteSecuri
0017b5	Peerless
0017b6	Aquantia
0017b7	TonzeTechnol
0017b8	Novatron
0017b9	GambroLundia
0017ba	Sedo
0017bb	SyrinxIndust
0017bc	TouchtunesMu
0017bd	Tibetsystem
0017be	TratecTeleco
0017bf	CoherentRese
0017c0	PureTech
0017c1	CMPrecisionT
0017c2	ADBBroadband
0017c3	KTFTechnolog
0017c4	QuantaMicros
0017c5	SonicWALL
0017c6	CrossMatchTe
0017c7	MARAConsulti
0017c8	KYOCERADispl
0017c9	SamsungElect
0017ca	Qisda
0017cb	JuniperNetwo
0017cc	AlcatelLucen
0017cd	CECWirelessR
0017ce	ScreenServic
0017cf	iMCA
0017d0	OpticomCommu
0017d1	NortelNetwor
0017d2	Thinlinx
0017d3	EtymoticRese
0017d4	MonsoonMulti
0017d5	SamsungElect
0017d6	BluechipsMic
0017d7	IONGeophysic
0017d8	MagnumSemico
0017d9	AAI
0017da	SpansLogic
0017db	CankoTechnol
0017dc	DaemyungZero
0017dd	ClipsalAustr
0017de	AdvantageSix
0017df	Cisco
0017e0	Cisco
0017e1	DACOSTechnol
0017e2	Commscope
0017e3	TexasInstrum
0017e4	TexasInstrum
0017e5	TexasInstrum
0017e6	TexasInstrum
0017e7	TexasInstrum
0017e8	TexasInstrum
0017e9	TexasInstrum
0017ea	TexasInstrum
0017eb	TexasInstrum
0017ec	TexasInstrum
0017ed	WooJooIT
0017ee	Commscope
0017ef	IBM
0017f0	SZCOMBroadba
0017f1	RenuElectron
0017f2	Apple
0017f3	Harris
0017f4	ZeronAllianc
0017f5	LigNeoptek
0017f6	PyramidMerid
0017f7	CEMSolutions
0017f8	MotechIndust
0017f9	ForcomSp
0017fa	Microsoft
0017fb	Fa
0017fc	Suprema
0017fd	AmuletHotkey
0017fe	TalosSystem
0017ff	PLAYLINE
001800	Unigrand
001801	ActiontecEle
001802	AlphaNetwork
001803	ArcSoftShang
001804	ETekDigitalT
001805	InHandNetwor
001806	HokkeiIndust
001807	Fanstel
001808	SightLogix
001809	Cresyn
00180a	CiscoMeraki
00180b	BrilliantTel
00180c	ZhoneTechnol
00180d	TerabytesSer
00180e	Avega
00180f	NokiaDanmark
001810	IPTrade
001811	NeurosTechno
001812	XinweiTeleco
001813	Sony
001814	Mitutoyo
001815	GZTechnologi
001816	Ubixon
001817	DEShawResear
001818	Cisco
001819	Cisco
00181a	AVerMediaInf
00181b	TaiJinMetal
00181c	Vitec
00181d	AsiaElectron
00181e	GDXTechnolog
00181f	PalmmicroCom
001820	w5networks
001821	Sindoricoh
001822	CecTelecom
001823	DeltaElectro
001824	KimaldiElect
001825	Private
001826	CaleAccess
001827	NecUnifiedSo
001828	e2vtechnolog
001829	Gatsometer
00182a	TaiwanVideoM
00182b	Softier
00182c	AscendNetwor
00182d	ArtecDesign
00182e	XStreamHD
00182f	TexasInstrum
001830	TexasInstrum
001831	TexasInstrum
001832	TexasInstrum
001833	TexasInstrum
001834	TexasInstrum
001835	ThoratecITC
001836	REJ
001837	UniversalABI
001838	PanAccessCom
001839	CiscoLinksys
00183a	WestellTechn
00183b	CENITS
00183c	EncoreSoftwa
00183d	VertexLink
00183e	Digilent
00183f	2Wire
001840	3Phoenix
001841	HighTechComp
001842	NokiaDanmark
001843	Dawevision
001844	HeadsUpTechn
001845	PulsarTeleco
001846	Crypto
001847	AceNetTechno
001848	VecimaNetwor
001849	nVentSchroff
00184a	Catcher
00184b	LasVegasGami
00184c	BogenCommuni
00184d	Netgear
00184e	LianheTechno
00184f	8WaysTechnol
001850	SecfoneKft
001851	SWsoft
001852	StorLinkSemi
001853	AteraNetwork
001854	Argard
001855	Aeromaritime
001856	EyeFi
001857	UnileverR&D
001858	TagMaster
001859	StrawberryLi
00185a	uControl
00185b	NetworkChemi
00185c	EDSLABTechno
00185d	TaiguenTechn
00185e	Nexterm
00185f	TAC
001860	SIMTechnolog
001861	Ooma
001862	SeagateTechn
001863	VeritechElec
001864	Eaton
001865	SiemensHealt
001866	LeutronVisio
001867	DatalogicADC
001868	CiscoSPVTG
001869	Kingjim
00186a	GlobalLinkDi
00186b	SambuCommuni
00186c	Neonode
00186d	ZhenjiangSap
00186e	3Com
00186f	SethaIndustr
001870	E28Shanghai
001871	HewlettPacka
001872	ExpertiseEng
001873	Cisco
001874	Cisco
001875	AnaCiseTestn
001876	WowWee
001877	Amplex
001878	Mackware
001879	dSys
00187a	Wiremold
00187b	4NSYS
00187c	Intercross
00187d	Armorlink
00187e	RGBSpectrum
00187f	Zodianet
001880	MaximIntegra
001881	BuyangElectr
001882	HuaweiTechno
001883	Formosa21
001884	FonTechnolog
001885	MotorolaSolu
001886	ElTech
001887	Metasystem
001888	GOTIVE
001889	WinNetSoluti
00188a	Infinova
00188b	Dell
00188c	MobileAction
00188d	NokiaDanmark
00188e	Ekahau
00188f	MontgomeryTe
001890	RadioCOMsro
001891	ZhongshanGen
001892	adstec
001893	PhotonBroadb
001894	NPCore
001895	HansunTechno
001896	GreatWellEle
001897	JESSLINKPROD
001898	KingstateEle
001899	jieshunScien
00189a	HANAMicron
00189b	Thomson
00189c	Weldex
00189d	Navcast
00189e	OMNIKEY
00189f	Lenntek
0018a0	CiermaAscens
0018a1	TiqitCompute
0018a2	XIPTechnolog
0018a3	ZippyTechnol
0018a4	Commscope
0018a5	ADigitTechno
0018a6	Persistent
0018a7	YoggieSecuri
0018a8	AnNealTechno
0018a9	EthernetDire
0018aa	ProtecFireDe
0018ab	LhwtMicroele
0018ac	JiaoDaHISYST
0018ad	NidecInstrum
0018ae	Tvt
0018af	SamsungElect
0018b0	NortelNetwor
0018b1	IBM
0018b2	AdeunisRf
0018b3	TECWizHome
0018b4	DawonMedia
0018b5	MagnaCarta
0018b6	S3C
0018b7	D3Led
0018b8	NewVoiceInte
0018b9	Cisco
0018ba	Cisco
0018bb	EliwellContr
0018bc	ZAONVPBolid
0018bd	DvbworldTech
0018be	ANSA
0018bf	EssenceTechn
0018c0	Commscope
0018c1	AlmitecInfor
0018c2	Firetide
0018c3	CS
0018c4	RabaTechnolo
0018c5	NokiaDanmark
0018c6	OPWFuelManag
0018c7	RealTimeAuto
0018c8	ISONAS
0018c9	EOpsTechnolo
0018ca	Viprinet
0018cb	TecobestTech
0018cc	AxiohmSas
0018cd	EraeElectron
0018ce	Dreamtech
0018cf	BaldorElectr
0018d0	AtRoadATrimb
0018d1	SiemensHomeO
0018d2	HighGainAnte
0018d3	Teamcast
0018d4	UnifiedDispl
0018d5	Reigncom
0018d6	Swirlnet
0018d7	JAVADGNSS
0018d8	ARCHMETER
0018d9	SantoshaInte
0018da	WürthElektro
0018db	EPLTechnolog
0018dc	Prostar
0018dd	SilicondustE
0018de	Intel
0018df	Morey
0018e0	Anaveo
0018e1	VerkerkServi
0018e2	TopdataSiste
0018e3	Visualgate
0018e4	Yiguang
0018e5	Adhoco
0018e6	ComputerHard
0018e7	CameoCommuni
0018e8	Hacetron
0018e9	Numata
0018ea	Alltec
0018eb	BlueZenEnter
0018ec	WeldingTechn
0018ed	AccutechUltr
0018ee	VideologyIma
0018ef	EscapeCommun
0018f0	JOYTOTO
0018f1	ChunichiDens
0018f2	TianyuCommun
0018f3	ASUSTekCOMPU
0018f4	EOTECHNICS
0018f5	StreamingVid
0018f6	ThomsonTelec
0018f7	KameleonTech
0018f8	CiscoLinksys
0018f9	VVOND
0018fa	YushinPrecis
0018fb	ComproTechno
0018fc	AltecElectro
0018fd	OptimalTechn
0018fe	HewlettPacka
0018ff	PowerQuattro
001900	Intelliveres
001901	F1Media
001902	CambridgeCon
001903	BigfootNetwo
001904	WBElectronic
001905	SCHRACKSecon
001906	Cisco
001907	Cisco
001908	Duaxes
001909	DEVIDanfoss
00190a	Hasware
00190b	SouthernVisi
00190c	EncoreElectr
00190d	IEEE1394c
00190e	AtechTechnol
00190f	Advansus
001910	KnickElektro
001911	JustInMobile
001912	Welcat
001913	ChuangYiNetw
001914	Winix
001915	TECOM
001916	PayTec
001917	Posiflex
001918	InteractiveW
001919	ASTEL
00191a	Irlink
00191b	SputnikEngin
00191c	Sensicast
00191d	Nintendo
00191e	Beyondwiz
00191f	Microlinkcom
001920	KUMEelectric
001921	ElitegroupCo
001922	CMComandosLi
001923	PhonexKorea
001924	LBNLEngineer
001925	Intelicis
001926	BitsGen
001927	ImCoSys
001928	SiemensTrans
001929	2M2BMontador
00192a	AntiopeAssoc
00192b	AclaraRF
00192c	Commscope
00192d	Nokia
00192e	SpectralInst
00192f	Cisco
001930	Cisco
001931	Balluff
001932	Gude
001933	Strix
001934	TrendonTouch
001935	DuerrDental
001936	SterliteOpti
001937	CommerceGuar
001938	UMBCommunica
001939	Gigamips
00193a	Oesolutions
00193b	LigoWave
00193c	HighPointTec
00193d	GMCGuardianM
00193e	ADBBroadband
00193f	RDItechnolog
001940	Rackable
001941	PitneyBowes
001942	OnSoftwareIn
001943	Belden
001944	FossilPartne
001945	RFCOncepts
001946	CianetIndust
001947	CiscoSPVTG
001948	AireSpiderNe
001949	TentelComtec
00194a	Testo
00194b	SagemcomBroa
00194c	FujianStelco
00194d	AvagoTechnol
00194e	UltraElectro
00194f	NokiaDanmark
001950	HarmanMultim
001951	NETCONSsro
001952	ACOGITO
001953	ChainleaderC
001954	Leaf
001955	Cisco
001956	Cisco
001957	SaafnetCanad
001958	BluetoothSIG
001959	StaccatoComm
00195a	JenaerAntrie
00195b	DLink
00195c	Innotech
00195d	XinHuaTongOp
00195e	Commscope
00195f	ValemountNet
001960	DoCoMo
001961	BlaupunktEmb
001962	CommerciantL
001963	Sony
001964	Doorking
001965	YuHuaTelTech
001966	AsiarockTech
001967	TELDATSpJ
001968	DigitalVideo
001969	NortelNetwor
00196a	MikroM
00196b	Danpex
00196c	EtrovisionTe
00196d	RaybitKorea
00196e	Metacom
00196f	SensoPart
001970	ZCom
001971	GuangzhouUni
001972	Plexus
001973	Zeugma
001974	16063
001975	Huisennetwor
001976	XipherTechno
001977	ExtremeNetwo
001978	Datum
001979	NokiaDanmark
00197a	MAZeT
00197b	Picotest
00197c	RiedelCommun
00197d	HonHaiPrecis
00197e	HonHaiPrecis
00197f	Plantronics
001980	Gridpoint
001981	Vivox
001982	SmarDTV
001983	CCTR&D
001984	ESTIC
001985	ITWatchdogs
001986	ChengHongjia
001987	PanasonicMob
001988	Wi2Wi
001989	Sonitrol
00198a	NorthropGrum
00198b	NoveraOptics
00198c	iXSea
00198d	OceanOptics
00198e	Demant
00198f	NokiaBell
001990	ELMDATA
001991	avinfo
001992	Adtran
001993	ChangshuSwit
001994	JorjinTechno
001995	JurongHiTech
001996	TurboChefTec
001997	SoftDeviceSd
001998	Sato
001999	FujitsuTechn
00199a	EdoEvi
00199b	DiversifiedT
00199c	Ctring
00199d	Vizio
00199e	Nifty
00199f	Dkt
0019a0	NihonDataSys
0019a1	LgInformatio
0019a2	OrdynTechnol
0019a3	asteelelectr
0019a4	AustarTechno
0019a5	RadarFind
0019a6	Commscope
0019a7	ItuT
0019a8	WiQuestCommu
0019a9	Cisco
0019aa	Cisco
0019ab	Raycom
0019ac	GSP
0019ad	Bobst
0019ae	HoplingTechn
0019af	RigolTechnol
0019b0	HanYangSyste
0019b1	Arrow7
0019b2	XYnetsoft
0019b3	StanfordRese
0019b4	Intellio
0019b5	FamarFueguin
0019b6	EuroEmme
0019b7	NokiaDanmark
0019b8	BoundaryDevi
0019b9	Dell
0019ba	ParadoxSecur
0019bb	HewlettPacka
0019bc	ElectroChanc
0019bd	NewMediaLife
0019be	AltaiTechnol
0019bf	Citiwaytechn
0019c0	Commscope
0019c1	Alpsalpine
0019c2	EquustekSolu
0019c3	Qualitrol
0019c4	Infocrypt
0019c5	SonyInteract
0019c6	zte
0019c7	CambridgeInd
0019c8	AnyDATA
0019c9	S&CElectric
0019ca	BroadataComm
0019cb	ZyxelCommuni
0019cc	RCG
0019cd	ethercominfo
0019ce	ProgressiveG
0019cf	Salicru
0019d0	Cathexis
0019d1	Intel
0019d2	Intel
0019d3	TRAKMicrowav
0019d4	ICXTechnolog
0019d5	IPInnovation
0019d6	LSCableandSy
0019d7	Fortunetek
0019d8	Maxfor
0019d9	Zeutschel
0019da	WelltransO&E
0019db	MicroStarInt
0019dc	ENENSYSTechn
0019dd	FEIZyfer
0019de	Mobitek
0019df	Thomson
0019e0	TpLinkTechno
0019e1	NortelNetwor
0019e2	JuniperNetwo
0019e3	Apple
0019e4	2Wire
0019e5	LynxStudioTe
0019e6	ToyoMedic
0019e7	Cisco
0019e8	Cisco
0019e9	SInformation
0019ea	TeraMageTech
0019eb	Pyronix
0019ec	Sagamore
0019ed	Axesstel
0019ee	CARLOGAVAZZI
0019ef	LinnkingElec
0019f0	UnionManTech
0019f1	StarCommunic
0019f2	Teradyne
0019f3	Cetis
0019f4	Convergens
0019f5	ImaginationT
0019f6	Acconet
0019f7	OnsetCompute
0019f8	EmbeddedDesi
0019f9	TDKLambda
0019fa	CableVisionE
0019fb	SkyUk
0019fc	PTUfoaksesSu
0019fd	Nintendo
0019fe	SeecommTechn
0019ff	Finnzymes
001a00	Matrix
001a01	ICUMedical
001a02	SecureCarePr
001a03	AngelElectro
001a04	InteraySolut
001a05	Optibase
001a06	OpVista
001a07	ArecontVisio
001a08	Simoco
001a09	WayfarerTran
001a0a	AdaptiveMicr
001a0b	BonaTechnolo
001a0c	SweDishSatel
001a0d	HandHeldente
001a0e	ChengUeiPrec
001a0f	ArtecheGroup
001a10	LucentTransE
001a11	Google
001a12	Essilor
001a13	WanlidaGroup
001a14	XinHuaContro
001a15	gemaltoePaym
001a16	NokiaDanmark
001a17	TeakTechnolo
001a18	AdvancedSimu
001a19	ComputerEngi
001a1a	GentexElectr
001a1b	Commscope
001a1c	GT&TEngineer
001a1d	PChomeOnline
001a1e	HewlettPacka
001a1f	CoastalEnvir
001a20	CMOTECH
001a21	BrookhuisApp
001a22	eQ3Entwicklu
001a23	IceQube
001a24	GalaxyTeleco
001a25	DeltaDore
001a26	DeltanodeSol
001a27	Ubistar
001a28	ASWTTaiwanBr
001a29	JohnsonOutdo
001a2a	Arcadyan
001a2b	AyecomTechno
001a2c	SATEC
001a2d	NavvoGroup
001a2e	ZiovaCoporat
001a2f	Cisco
001a30	Cisco
001a31	ScanCoin
001a32	ActivaMultim
001a33	ASICommunica
001a34	KonkaGroup
001a35	BARTEC
001a36	Aipermon
001a37	Lear
001a38	SanminaSCI
001a39	Merten&CoKG
001a3a	Dongahelecom
001a3b	DoahElecom
001a3c	Technowave
001a3d	AjinVision
001a3e	FasterTechno
001a3f	Intelbras
001a40	AFourTech
001a41	INOCOVA
001a42	TechcityTech
001a43	LogicalLinkC
001a44	JWTrading
001a45	GNNetcom
001a46	DigitalMulti
001a47	Agami
001a48	Takacom
001a49	MicroVision
001a4a	Qumranet
001a4b	HewlettPacka
001a4c	CrossbowTech
001a4d	GigaByteTech
001a4e	NTILinMot
001a4f	AVM
001a50	PheeNetTechn
001a51	AlfredMannFo
001a52	MeshlinxWire
001a53	Zylaya
001a54	HipShingElec
001a55	ACADigital
001a56	ViewTel
001a57	MatrixDesign
001a58	CCVDeutschla
001a59	Ircona
001a5a	KoreaElectri
001a5b	NetCareServi
001a5c	Euchner
001a5d	Mobinnova
001a5e	ThincomTechn
001a5f	KitWorksfi
001a60	WaveElectron
001a61	PacStar
001a62	DataRobotics
001a63	ElsterSoluti
001a64	IBM
001a65	Seluxit
001a66	Commscope
001a67	InfiniteQLSd
001a68	WeltecEnterp
001a69	YangtzeOptic
001a6a	Tranzas
001a6b	UniversalGlo
001a6c	Cisco
001a6d	Cisco
001a6e	ImproTechnol
001a6f	MITEL
001a70	CiscoLinksys
001a71	Diostech
001a72	MosartSemico
001a73	GemtekTechno
001a74	ProcareInter
001a75	Sony
001a76	SDTinformati
001a77	Commscope
001a78	ubtos
001a79	Telecomunica
001a7a	LismoreInstr
001a7b	Teleco
001a7c	HirschmannMu
001a7d	cyberblueLtd
001a7e	LNSrithaiCom
001a7f	GCIScienceTe
001a80	Sony
001a81	Zelax
001a82	PROBABuildin
001a83	PegasusTechn
001a84	VOneMultimed
001a85	NVMichelVand
001a86	NewWaveDesig
001a87	CanholdInter
001a88	Venergy
001a89	NokiaDanmark
001a8a	SamsungElect
001a8b	ChunilElectr
001a8c	Sophos
001a8d	AVECSBergen
001a8e	3WayNetworks
001a8f	NortelNetwor
001a90	TrópicoSiste
001a91	FusionDynami
001a92	ASUSTekCOMPU
001a93	ERCOLeuchten
001a94	Votronic
001a95	HisenseMobil
001a96	Ecler
001a97	fitivisionte
001a98	AsotelCommun
001a99	SmartyInform
001a9a	SkyworthDigi
001a9b	ADECParter
001a9c	RightHandTec
001a9d	SkipperWirel
001a9e	ICONDigitalI
001a9f	ALink
001aa0	Dell
001aa1	Cisco
001aa2	Cisco
001aa3	Delorme
001aa4	FutureUniver
001aa5	BRNPhoenix
001aa6	ElbitDeutsch
001aa7	TorianWirele
001aa8	MamiyaDigita
001aa9	FujianStarNe
001aaa	Analogic
001aab	eWings
001aac	Corelatus
001aad	Commscope
001aae	Savant
001aaf	BlusensTechn
001ab0	SignalNetwor
001ab1	AsiaPacificS
001ab2	CyberSolutio
001ab3	Visionite
001ab4	FFEI
001ab5	HomeNetworkS
001ab6	TexasInstrum
001ab7	EthosNetwork
001ab8	Anseri
001ab9	GroupeCarrus
001aba	CatonOversea
001abb	FontalTechno
001abc	U4EATechnolo
001abd	Impatica
001abe	ComputerHiTe
001abf	TRUMPFLaserM
001ac0	JoybienTechn
001ac1	3Com
001ac2	YEC
001ac3	ScientificAt
001ac4	2Wire
001ac5	KeysightTech
001ac6	MicroControl
001ac7	Unipoint
001ac8	ISL
001ac9	Suzuken
001aca	Tilera
001acb	AutocomProdu
001acc	CelestialSem
001acd	TidelEnginee
001ace	Yupiteru
001acf	CTElettronic
001ad0	AlbisTechnol
001ad1	Fargo
001ad2	EletronicaNi
001ad3	Vamp
001ad4	iPOXTechnolo
001ad5	KmcChainIndu
001ad6	JiagnsuAetna
001ad7	ChristieDigi
001ad8	AlsterAero
001ad9	Internationa
001ada	Biz2Me
001adb	Commscope
001adc	NokiaDanmark
001add	PePWave
001ade	Commscope
001adf	Interactivet
001ae0	MythologyTec
001ae1	EdgeAccess
001ae2	Cisco
001ae3	Cisco
001ae4	MedicisTechn
001ae5	MvoxTechnolo
001ae6	AtlantaAdvan
001ae7	AztekNetwork
001ae8	UnifySoftwar
001ae9	Nintendo
001aea	RadioTermina
001aeb	AlliedTelesi
001aec	KeumbeeElect
001aed	INCOTEC
001aee	Shenztech
001aef	LoopcommTech
001af0	AlcatelLucen
001af1	EmbeddedArti
001af2	DynavisionsS
001af3	SamyoungElec
001af4	Handreamnet
001af5	Pentaone
001af6	Woven
001af7	dataschaltea
001af8	CopleyContro
001af9	AeroVIronmen
001afa	WelchAllyn
001afb	Joby
001afc	ModusLink
001afd	Evolis
001afe	Sofacreal
001aff	WizyoungTech
001b00	NeopostTechn
001b01	AppliedRadio
001b02	ED
001b03	ActionTechno
001b04	AffinityInte
001b05	Ymc
001b06	AteliersRLAU
001b07	MendocinoSof
001b08	DanfossDrive
001b09	MatrixComsec
001b0a	IntelligentD
001b0b	Phidgets
001b0c	Cisco
001b0d	Cisco
001b0e	InoTecOrgani
001b0f	Petratec
001b10	KangHuiTechn
001b11	DLink
001b12	Apprion
001b13	IcronTechnol
001b14	CarexLightin
001b15	Voxtel
001b16	Celtro
001b17	PaloAltoNetw
001b18	TsukenElectr
001b19	IEEEI&MSocie
001b1a	etreesJapan
001b1b	Siemens
001b1c	Coherent
001b1d	PhoenixInter
001b1e	HARTCommunic
001b1f	FORCETechnol
001b20	TPineTechnol
001b21	Intel
001b22	PalitMicrosy
001b23	SimpleComToo
001b24	QuantaComput
001b25	NortelNetwor
001b26	RONTelecom
001b27	MerlinCSI
001b28	Polygon
001b29	Avantis
001b2a	Cisco
001b2b	Cisco
001b2c	ATRONelectro
001b2d	MedEng
001b2e	SinkyoElectr
001b2f	Netgear
001b30	Solitech
001b31	NeuralImage
001b32	QLogic
001b33	NokiaDanmark
001b34	FocusSystem
001b35	ChongQingJIN
001b36	TsubataEngin
001b37	Computec
001b38	CompalInform
001b39	Proxicast
001b3a	SIMS
001b3b	YiQing
001b3c	SoftwareTech
001b3d	EuroTel
001b3e	Curtis
001b3f	ProCurveNetw
001b40	NetworkAutom
001b41	GeneralInfin
001b42	WiseBlue
001b43	DGTelecommun
001b44	SanDisk
001b45	ABBASDivisio
001b46	BlueoneTechn
001b47	Futarque
001b48	LantechElect
001b49	RobertsRadio
001b4a	W&WCommunica
001b4b	SANION
001b4c	Signtech
001b4d	ArecaTechnol
001b4e	NavmanNewZea
001b4f	Avaya
001b50	NizhnyNovgor
001b51	VectorTechno
001b52	Commscope
001b53	Cisco
001b54	Cisco
001b55	HurcoAutomat
001b56	TehutiNetwor
001b57	SemindiaPriv
001b58	ACECADEnterp
001b59	Sony
001b5a	ApolloImagin
001b5b	2Wire
001b5c	Azuretec
001b5d	Vololink
001b5e	BPL
001b5f	AlienTechnol
001b60	Navigon
001b61	DigitalAcous
001b62	JHTOptoelect
001b63	Apple
001b64	IsaacLandKor
001b65	ChinaGridcom
001b66	Sennheiserel
001b67	Cisco
001b68	Modnnet
001b69	Equaline
001b6a	PowerwaveTec
001b6b	SwyxSolution
001b6c	LookXDigital
001b6d	Midtronics
001b6e	KeysightTech
001b6f	Teletrak
001b70	IRIUbiteq
001b71	Telular
001b72	Sicep
001b73	DTLBroadcast
001b74	MiraLink
001b75	Hypermedia
001b76	Ripcode
001b77	Intel
001b78	HewlettPacka
001b79	FaiveleyTran
001b7a	Nintendo
001b7b	Tintometer
001b7c	ARCambridge
001b7d	CXRAndersonJ
001b7e	Beckmann
001b7f	TMNTechnolog
001b80	LORD
001b81	DATAQInstrum
001b82	TaiwanSemico
001b83	Finsoft
001b84	ScanEngineer
001b85	Everllence
001b86	BoschAccess
001b87	DeepsoundTec
001b88	DivinetAcces
001b89	EMZAVisualSe
001b8a	2MElectronic
001b8b	NECPlatforms
001b8c	JMicronTechn
001b8d	ElectronicCo
001b8e	HuluSweden
001b8f	Cisco
001b90	Cisco
001b91	Efkon
001b92	lacoustics
001b93	JCDecauxDNT
001b94	TEMpA
001b95	Video
001b96	GeneralSensi
001b97	ViolinTechno
001b98	SamsungElect
001b99	KSSystem
001b9a	ApolloFireDe
001b9b	HoseMcCannCo
001b9c	SATELsp
001b9d	NovusSecurit
001b9e	AskeyCompute
001b9f	Calyptech
001ba0	Awox
001ba1	Åmic
001ba2	IDSImagingDe
001ba3	FlexitGroup
001ba4	SAEAfikim
001ba5	MyungMin
001ba6	intotech
001ba7	LoricaSoluti
001ba8	UBI&MOBI
001ba9	Brotherindus
001baa	XenICs
001bab	Telchemy
001bac	CurtissWrigh
001bad	iControl
001bae	MicroControl
001baf	NokiaDanmark
001bb0	BharatElectr
001bb1	WNC
001bb2	IntellectInt
001bb3	Condalo
001bb4	Airvod
001bb5	Cherry
001bb6	BirdElectron
001bb7	AltaHeightsT
001bb8	BluewayElect
001bb9	ElitegroupCo
001bba	NortelNetwor
001bbb	RFTech
001bbc	SilverPeak
001bbd	FMCKongsberg
001bbe	ICOPDigital
001bbf	SagemcomBroa
001bc0	JuniperNetwo
001bc1	HOLUXTechnol
001bc2	IntegratedCo
001bc3	Mobisolution
001bc4	Ultratec
001bc6	StratoRechen
001bc7	StarVediaTec
001bc8	Miura
001bc9	FsnDisplay
001bca	RunTechnolog
001bcb	Pempek
001bcc	KingtekCctvA
001bcd	DaviscommsPt
001bce	MeasurementD
001bcf	Dataupia
001bd0	IdentecSolut
001bd1	Sogestmatic
001bd2	ULTRAXASIAPA
001bd3	PanasonicAVC
001bd4	Cisco
001bd5	Cisco
001bd6	KelvinHughes
001bd7	CiscoSPVTG
001bd8	FLIR
001bd9	EdgewaterWir
001bda	UTStarcom
001bdb	ValeoVECS
001bdc	Vencer
001bdd	Commscope
001bde	RenkusHeinz
001bdf	IskraSistemi
001be0	TELENOTELECT
001be1	ViaLogy
001be2	AhnLab
001be3	HealthHeroNe
001be4	Townet
001be5	802automatio
001be6	Vr
001be7	PostekElectr
001be8	Ultratronik
001be9	Broadcom
001bea	Nintendo
001beb	DMPElectroni
001bec	NetioTechnol
001bed	BrocadeCommu
001bee	NokiaDanmark
001bef	BlossomsDigi
001bf0	ValuePlatfor
001bf1	NanjingSilve
001bf2	KworldComput
001bf3	TRANSRADIOSe
001bf4	KenwinIndust
001bf5	TellinkSiste
001bf6	CONWISETechn
001bf7	LundIPProduc
001bf8	Digitrax
001bf9	IntellitectW
001bfa	GiNmbH
001bfb	Alpsalpine
001bfc	ASUSTekCOMPU
001bfd	Dignsys
001bfe	Zavio
001bff	MillenniaMed
001c00	EntryPoint
001c01	ABBDrives
001c02	PanoLogic
001c03	BettyTVTechn
001c04	Airgain
001c05	NoninMedical
001c06	SiemensNumer
001c07	Cwlinux
001c08	Echo360
001c09	SAEElectroni
001c0a	AEETechnolog
001c0b	SmartAntTele
001c0c	TANITA
001c0d	GTechnology
001c0e	Cisco
001c0f	Cisco
001c10	CiscoLinksys
001c11	Commscope
001c12	Commscope
001c13	OptsysTechno
001c14	VMware
001c15	iPhotonix
001c16	ThyssenKrupp
001c17	NortelNetwor
001c18	Sicert
001c19	secunetSecur
001c1a	ThomasInstru
001c1b	Hyperstone
001c1c	CenterCommun
001c1d	ChenzhouGosp
001c1e	emtrion
001c1f	QuestRetailT
001c20	CLBBenelux
001c21	Nucsafe
001c22	AerisElettro
001c23	Dell
001c24	FormosaWirel
001c25	HonHaiPrecis
001c26	HonHaiPrecis
001c27	SunellElectr
001c28	SphaironTech
001c29	CoreDigitalE
001c2a	EnvisacorTec
001c2b	Hive
001c2c	Synapse
001c2d	FlexRadio
001c2e	HPNSupplyCha
001c2f	Pfister
001c30	ModeLighting
001c31	MobileXPTech
001c32	Telian
001c33	Sutron
001c34	HueyChiaoInt
001c35	NokiaDanmark
001c36	iNEWiT
001c37	Callpod
001c38	BioRadLabora
001c39	SNetsystems
001c3a	ElementLabs
001c3b	AmRoadTechno
001c3c	SeonDesign
001c3d	WaveStorm
001c3e	ECKey
001c3f	Internationa
001c40	VDGSecurity
001c41	scemtecTrans
001c42	Parallels
001c43	SamsungElect
001c44	ElectroVoice
001c45	ChenbroMicom
001c46	Qtum
